"시도별","품목별","항목","단위","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"전국","생선초밥","소비자물가지수[2020=100]","2020=100","115.04","115.15","115.41","115.53","115.53","115.81","","","","","","","","","","","","","","","","43.188","52.34","55.99","57.67","60.398","63.959","65.766","67.237","67.94","68.543","69.876","71.226","72.857","76.193","78.65","79.033","80.028","80.482","81.503","83.558","85.226","87.108","88.02","89.735","90.715","91.643","93.706","94.977","96.879","99.106","100","103.09","108.63","113.44",
"전국","생선회(외식)","소비자물가지수[2020=100]","2020=100","126.38","126.25","126.56","127.21","129.1","129.89","","","","","","","","","","","","","","","","","","","","","73.452","73.048","71.665","71.689","70.967","72.791","71.505","69.552","70.558","72.488","71.711","71.95","73.032","74.22","76.892","84.231","87.599","88.687","90.074","90.42","90.855","94.744","97.037","100.875","100.041","100","105.7","116.08","123.22",
"전국","자장면","소비자물가지수[2020=100]","2020=100","126.14","126.33","126.39","126.71","127.45","128.12","2.894","3.193","4.078","4.277","5.823","7.294","9.857","11.051","11.015","11.907","12.877","13.482","14.123","15.878","18.781","22.723","27.511","30.727","33.227","36.644","39.06","42.461","44.954","51.272","49.459","50.162","50.789","53.786","59.413","60.809","61.066","61.87","64.18","72.575","73.847","74.768","79.995","80.943","82.353","83.397","85.703","88.108","90.933","94.982","98.589","100","103.07","114.2","122.42",
"전국","짬뽕","소비자물가지수[2020=100]","2020=100","122.89","123.07","123.07","123.35","124.02","124.54","3.351","3.798","4.01","4.197","6.175","8.011","10.709","11.867","11.908","13.15","14.054","14.71","15.168","16.704","19.297","22.76","26.745","29.894","32.184","35.373","37.448","40.565","42.734","48.775","47.905","48.718","49.656","52.502","57.159","58.474","59.033","59.934","61.759","68.893","70.212","70.971","76.086","77.293","79.619","81.467","83.876","86.54","90.003","94.687","98.484","100","103.02","112.63","119.11",
"전국","탕수육","소비자물가지수[2020=100]","2020=100","117.47","117.58","117.76","118.12","118.25","118.87","","","","","","","","","","","","","","","","","","","","","55.643","59.293","60.939","63.783","63.657","63.686","63.904","65.023","66.09","66.567","67.056","67.749","69.084","72.755","74.286","75.209","83.017","84.803","86.215","87.562","89.429","91.137","93.231","96.148","98.896","100","101.98","109.34","114.23",
"전국","볶음밥","소비자물가지수[2020=100]","2020=100","122.91","122.95","123.09","123.38","123.77","124.17","","","","","","","","","","","","","","","","","","","","","","","","","","54.493","55.21","57.707","61.526","63.143","63.873","64.395","66.045","72.342","73.992","74.981","79.824","80.912","82.629","84.089","85.918","88.459","91.64","95.364","98.282","100","103.92","113.08","119.31",
"전국","돈가스","소비자물가지수[2020=100]","2020=100","124.13","124.18","124.48","124.78","125.05","125.04","","","","","","","","","","","","","","","","36.998","44.102","48.49","50.655","54.175","57.466","59.861","60.661","62.989","63.314","63.63","66.234","68.339","69.659","70.487","71.007","72.522","73.954","76.995","79.539","80.481","86.637","88.091","89.018","89.758","90.362","92.297","93.945","96.416","99.307","100","102.31","111.28","119.85",
"전국","스테이크","소비자물가지수[2020=100]","2020=100","115.9","116.43","116.53","116.79","116.89","116.87","","","","","","","","","","","","","","","","","","","","","","","","","","64.218","64.919","65.245","66.754","68.354","70.098","71.015","72.674","75.724","78.422","79.883","82.845","85.301","87.169","88.214","89.815","92.239","93.996","95.667","97.967","100","103.11","109.8","114.09",
"전국","스파게티","소비자물가지수[2020=100]","2020=100","115.16","115.17","115.36","115.5","115.51","115.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.295","74.283","75.994","79.663","83.062","84.579","87.589","89.681","91.17","92.408","92.99","93.71","95.246","97.358","98.79","100","101.51","108.14","112.67",
"전국","라면(외식)","소비자물가지수[2020=100]","2020=100","126.8","126.95","127.34","128.15","128.4","128.53","","","","","","","","","","","","","","","","","","","","","37.243","38.897","39.713","48.558","49.42","49.341","50.032","51.767","52.634","53.72","53.765","54.352","56.041","64.467","67.675","69.258","72.905","75.635","78.166","81.166","84.033","86.979","90.666","94.464","98.127","100","103.19","113.56","122.68",
"전국","김밥","소비자물가지수[2020=100]","2020=100","132.7","133.12","133.36","133.65","134.09","134.82","","","","","","","","","","","","","","","","","","","","","44.996","46.961","48.165","51.206","50.632","50.575","51.01","52.139","51.941","51.393","51.115","51.166","51.553","60.266","64.334","66.073","69.041","70.466","72.71","75.365","77.321","80.979","87.258","92.191","97.251","100","104.78","115.98","125.9",
"전국","떡볶이","소비자물가지수[2020=100]","2020=100","129.19","129.41","129.69","130.36","131.01","131.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.743","74.068","75.913","78.579","80.625","83.81","86.422","88.653","93.412","97.47","100","102.95","112.9","121.96",
"전국","치킨","소비자물가지수[2020=100]","2020=100","124.86","125.34","125.65","125.96","126.03","126.24","","","","","","","","","","","","","","","","34.337","36.293","37.88","39.746","41.993","44.702","48.908","50.674","56.699","56.002","56.171","56.99","58.637","60.5","64.296","67.311","69.105","70.94","76.695","82.427","84.531","85.115","87.123","88.969","89.687","90.215","90.529","91.326","93.831","98.667","100","102.96","112.68","118.47",
"전국","햄버거","소비자물가지수[2020=100]","2020=100","131.02","131.02","132.01","132.01","132.01","133.82","","","","","","","","","","","","","","","","42.906","47.2","50.743","54.448","56.041","57.073","57.377","53.054","56.721","63.117","63.117","63.38","66.274","69.43","78.897","78.897","78.897","79.62","82.269","87.463","88.052","93.168","93.701","89.299","90.806","93.518","93.733","94.78","98.859","101.23","100","103.64","112.45","123.48",
"전국","피자","소비자물가지수[2020=100]","2020=100","119.92","119.92","119.92","111.08","120.46","118.78","","","","","","","","","","","","","","","","","","","","","61.759","63.916","64.363","68.456","69.759","70.17","70.117","70.093","71.135","75.713","75.713","75.713","77.082","85.657","90.174","91.438","92.962","95.728","95.728","98.836","99.119","99.119","99.119","100.324","100.725","100","98.91","107.7","119.73",
"전국","쌀국수","소비자물가지수[2020=100]","2020=100","121.38","121.81","121.81","121.69","122.08","122.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","102.05","109.68","116.59",
"전국","커피(외식)","소비자물가지수[2020=100]","2020=100","106.96","107","105.5","106.03","105.28","106.78","3.265","4.03","4.811","5.302","5.899","7.888","10.008","11.452","12.708","14.381","15.76","19.184","22.519","23.452","25.215","28.091","33.721","40.537","40.643","46.363","49.092","53.597","58.432","65.985","64.651","66.053","66.614","68.723","71.144","72.712","74.028","75.94","78.445","81.079","83.3","85.535","87.559","89.739","92.277","93.368","95.673","96.046","96.766","97.364","99.848","100","99.81","104.72","106.45",
"전국","기타음료(외식)","소비자물가지수[2020=100]","2020=100","105.38","105.44","104.76","104.76","104.78","105.67","","","","","","","","","","","20.578","22.336","24.562","27.268","30.692","34.568","42.407","49.703","50.525","57.645","62.1","67.559","71.15","76.639","75.356","76.403","77.167","79.874","82.305","83.616","84.78","86.787","88.794","91.069","93.754","94.326","95.804","97.062","97.759","98.552","99.25","99.176","99.407","99.425","99.569","100","100.21","102.59","104.96",
"전국","소주(외식)","소비자물가지수[2020=100]","2020=100","115.69","115.69","115.81","114.45","114.51","114.92","","","","","","","","","","","","","","","","","","","","","","","","","","59.111","63.697","68.816","71.534","72.608","72.668","73.007","73.649","73.764","73.825","74.678","75.002","75.06","77.257","78.701","81.589","91.156","95.918","98.258","99.307","100","100.76","106.96","114.82",
"전국","맥주(외식)","소비자물가지수[2020=100]","2020=100","118.09","118.24","118.26","117.21","117.35","117.4","","","","","","","","","","","20.285","20.309","21.028","21.769","26.6","30.077","32.924","38.575","43.858","48.524","50.994","55.851","59.612","65.373","65.998","67.977","68.571","69.687","71.46","72.191","72.633","73.383","74.339","75.344","76.887","78.249","79.521","81.314","86.169","88.74","90.442","92.523","94.861","96.651","98.94","100","100.81","107.23","114.66",
"전국","막걸리(외식)","소비자물가지수[2020=100]","2020=100","118.2","118.41","118.41","118.6","119.4","119.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.409","91.38","91.704","92.288","93.087","93.729","95.192","96.203","96.977","98.555","100","104.26","111.33","116.01",
"전국","구내식당식사비","소비자물가지수[2020=100]","2020=100","121.41","121.63","121.76","121.93","121.93","121.95","","","","","","","","","","","","","","","","","","","","","","","","","","51.919","52.555","53.356","54.697","56.864","59.427","61.709","63.64","66.725","69.904","71.855","75.712","78.817","81.02","82.564","86.796","88.995","91.455","94.656","97.51","100","104.09","108.51","116.01",
"전국","도시락","소비자물가지수[2020=100]","2020=100","122.6","122.6","122.6","122.6","129.28","132.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.735","91.735","91.735","97.739","100","100","101.09","109.92","117.96",
"전국","외식제외","소비자물가지수[2020=100]","2020=100","113.49","114.6","115.18","114.42","114.57","114.12","","","","","","","","","","","18.531","19.514","20.318","22.147","24.268","27.835","31.845","35.229","38.42","41.657","45.531","49.64","52.873","55.76","55.214","56.77","59.051","61.335","64.325","67.069","69.476","72.024","74.838","78.271","79.979","81.675","84.465","85.302","86.688","88.291","89.751","92.304","94.698","96.756","98.539","100","102.36","106.3","110.5",
"전국","의복수선료","소비자물가지수[2020=100]","2020=100","118.53","118.82","118.82","118.93","120.01","120.14","4.605","4.818","5.675","7.322","11.8","16.709","21.299","24.48","24.621","26.964","26.964","27.318","28.672","35.66","39.022","43.461","48.535","54.166","59.433","59.23","60.604","63.79","66.84","71.849","71.016","70.567","70.802","70.56","72.154","74.083","75.659","76.252","76.636","78.61","81.655","82.959","84.294","85.939","87.315","89.208","90.855","91.842","93.93","95.79","98.396","100","101.29","107.38","114.21",
"전국","세탁료","소비자물가지수[2020=100]","2020=100","126.56","126.83","126.97","127.11","127.85","128.63","7.932","8.758","10.503","12.576","18.979","27.214","33.059","34.145","34.065","33.823","33.73","33.603","34.367","42.286","45.159","53.393","62.701","69.419","78.412","80.841","80.533","84.888","86.841","87.418","78.734","74.822","73.026","73.868","76.525","77.635","78.502","79.529","80.51","84.52","87.235","87.482","88.984","90.776","91.261","91.773","92.181","93.042","94.596","96.145","97.822","100","102.23","110.39","120.91",
"전국","설비수리비","소비자물가지수[2020=100]","2020=100","118.29","118.52","118.66","118.89","119.42","119.75","","","","","","","","","","","9.534","10.713","11.409","13.538","16.756","21.73","27.85","31.129","32.234","35.197","38.475","41.238","44.646","43.896","42.819","44.486","46.858","49.876","53.983","57.372","59.135","60.071","60.825","62.481","63.88","64.364","68.3","71.909","74.765","76.92","80.394","82.663","87.524","92.492","97.031","100","104.85","110.89","115.66",
"전국","공동주택관리비","소비자물가지수[2020=100]","2020=100","121.8","121","122.72","122.62","123.56","122.95","","","","","","","","","","","","","","","","22.463","27.058","30.193","34.881","40.287","41.404","44.395","46.496","46.434","44.423","44.589","45.882","46.81","49.065","52.13","54.176","56.405","58.68","61.758","63.505","64.783","66.7","69.594","74.339","76.638","79.621","82.584","86.787","90.766","95.115","100","105.3","110.46","116.3",
"전국","가전제품수리비","소비자물가지수[2020=100]","2020=100","119.55","134.34","134.34","126.95","126.95","126.95","","","","","","","","","","","","","","","","","","","","","","","","","","49.564","49.564","49.564","49.564","53.964","56.157","59.452","66.04","66.04","66.04","66.04","66.04","66.04","66.04","71.819","76.174","82.36","87.645","93.938","95.805","100","104.09","106.53","113.48",
"전국","가전제품렌탈비","소비자물가지수[2020=100]","2020=100","93.84","93.84","93.84","93.84","93.84","94.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.663","95.663","95.663","100.013","100.79","105.43","106.813","108.434","108.724","109.13","100","100.9","97.59","100.01",
"전국","가사도우미료","소비자물가지수[2020=100]","2020=100","116.66","116.8","116.81","116.81","117.24","117.53","","","","","","3.731","4.519","4.948","6.115","6.199","7.178","7.366","7.441","8.554","9.862","12.276","16.26","21.505","23.019","25.286","28.13","31.594","35.794","36.957","37.039","37.506","40.575","42.758","46.537","50.482","51.597","52.131","56.769","59.353","60.264","65.46","69.137","74.086","75.661","78.11","81.234","82.736","85.706","94.024","98.037","100","101.85","107.5","113.67",
"전국","간병도우미료","소비자물가지수[2020=100]","2020=100","133.63","133.79","133.85","134.11","134.36","134.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.602","62.664","65.529","68.763","70.391","72.819","74.713","76.035","79.715","81.729","82.957","84.273","87.213","93.248","97.569","100","106.43","114.97","126.24",
"전국","건강기기렌탈비","소비자물가지수[2020=100]","2020=100","101.78","101.78","101.78","106.52","106.52","106.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.963","98.963","98.963","98.963","98.963","100","104.94","104.94","104.94",
